地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任,年份,兩大黨得票率,district,name,order,left,male,birth_year,party,votes,percentage,win,incumbency,year,n_candidates,right,is_odd,middle
南投縣第01選區,吳敦義,1,男,1948,中國國民黨,64295,0.6712,*,是,2008,NA,南投縣第01選區,吳敦義,1,1,1,1948,中國國民黨,64295,67.12,1,1,2008,2,0,0,0
南投縣第01選區,林耘生,2,男,1972,民主進步黨,31489,0.3287,NA,是,2008,NA,南投縣第01選區,林耘生,2,0,1,1972,民主進步黨,31489,32.87,0,1,2008,2,1,0,0
南投縣第01選區,張國鑫,1,男,1961,民主進步黨,49950,0.38549999999999995,NA,否,2012,100,南投縣第01選區,張國鑫,1,1,1,1961,民主進步黨,49950,38.55,0,0,2012,3,0,1,0
南投縣第01選區,馬文君,2,女,1965,中國國民黨,78083,0.6026,*,是,2012,100,南投縣第01選區,馬文君,2,0,0,1965,中國國民黨,78083,60.260000000000005,1,1,2012,3,0,1,1
南投縣第01選區,何國隆,3,男,1960,台灣主義黨,1526,0.011699999999999999,NA,否,2012,100,南投縣第01選區,何國隆,3,0,1,1960,台灣主義黨,1526,1.17,0,0,2012,3,1,1,0
南投縣第01選區,馬文君,1,女,1965,中國國民黨,63600,0.5477000000000001,*,是,2016,98.82,南投縣第01選區,馬文君,1,1,0,1965,中國國民黨,63600,54.77000000000001,1,1,2016,2,0,0,0
南投縣第01選區,張國鑫,2,男,1961,民主進步黨,52521,0.4522,NA,否,2016,98.82,南投縣第01選區,張國鑫,2,0,1,1961,民主進步黨,52521,45.22,0,0,2016,2,1,0,0
南投縣第01選區,馬文君,1,女,1965,中國國民黨,73480,0.5357,*,是,2020,100,南投縣第01選區,馬文君,1,1,0,1965,中國國民黨,73480,53.56999999999999,1,1,2020,2,0,0,0
南投縣第01選區,蔡培慧,2,女,1971,民主進步黨,63691,0.4643,NA,是,2020,100,南投縣第01選區,蔡培慧,2,0,0,1971,民主進步黨,63691,46.43,0,1,2020,2,1,0,0
南投縣第02選區,林明溱,1,男,1951,中國國民黨,62344,0.5793,*,否,2008,NA,南投縣第02選區,林明溱,1,1,1,1951,中國國民黨,62344,57.93000000000001,1,0,2008,3,0,1,0
南投縣第02選區,湯火聖,2,男,1956,民主進步黨,44397,0.4125,NA,是,2008,NA,南投縣第02選區,湯火聖,2,0,1,1956,民主進步黨,44397,41.25,0,1,2008,3,0,1,1
南投縣第02選區,陳翠容,3,女,1973,大道慈悲濟世黨,873,0.008100000000000001,NA,否,2008,NA,南投縣第02選區,陳翠容,3,0,0,1973,大道慈悲濟世黨,873,0.8100000000000002,0,0,2008,3,1,1,0
南投縣第02選區,賴燕雪,1,女,1964,民主進步黨,66447,0.4568,NA,否,2012,99.19,南投縣第02選區,賴燕雪,1,1,0,1964,民主進步黨,66447,45.68,0,0,2012,2,0,0,0
南投縣第02選區,林明溱,2,男,1951,中國國民黨,79008,0.5431,*,是,2012,99.19,南投縣第02選區,林明溱,2,0,1,1951,中國國民黨,79008,54.31,1,1,2012,2,1,0,0
南投縣第02選區,蔡煌瑯,1,男,1960,民主進步黨,56237,0.4335,NA,是,2016,97.82,南投縣第02選區,蔡煌瑯,1,1,1,1960,民主進步黨,56237,43.35,0,1,2016,2,0,0,0
南投縣第02選區,許淑華,2,女,1975,中國國民黨,73485,0.5664,*,是,2016,97.82,南投縣第02選區,許淑華,2,0,0,1975,中國國民黨,73485,56.64,1,1,2016,2,1,0,0
