n_candidates,Number of Districts,Total Candidates,Mean Vote Share (First),Mean Vote Share (Others),Difference
2,44,88,46.47477272727273,53.51613636363636,-7.041363636363634
3,62,186,38.8016129032258,30.59241935483871,8.209193548387091
4,62,248,26.256612903225808,24.575913978494622,1.6806989247311854
5,44,220,26.937954545454545,18.260738636363637,8.677215909090908
6,36,216,19.618333333333332,16.072666666666667,3.5456666666666656
7,20,140,8.3105,15.278416666666667,-6.967916666666667
8,10,80,9.501000000000001,12.924,-3.4229999999999983
9,7,63,1.0242857142857145,12.369464285714285,-11.345178571428571
10,5,50,8.87,10.123777777777779,-1.2537777777777794
11,1,11,0.4,9.96,-9.56
12,1,12,1.23,8.972727272727273,-7.742727272727272
